word	greedy	greedy_adv	simple
OBERTEILE	2	2	2
REICHEREN	2	3	3
RUNZLIGEN	2	2	2
RUHELOSEN	3	2	3
SALOPPSTE	2	2	2
SCHNITTET	2	2	3
SCHAKALEN	2	2	1
SCHLAFFER	2	3	2
SCHMECKST	2	2	2
SCHLIEFEN	2	2	3
RIESIGSTE	2	2	2
SCHNITTIG	1	1	2
POLIERTEN	3	2	2
SCHNITZEN	2	2	4
RUDERNDER	3	2	3
RHEINISCH	2	2	2
SCHNEUZTE	2	2	2
REISEZIEL	2	2	2
SCHRUNDEN	2	2	3
SCHAFPELZ	2	2	2
ROEHRENDE	2	2	3
SCHRAMMEN	2	2	3
SCHNEISEN	2	2	3
SCHLEICHE	2	1	2
PETROLEUM	2	2	2
SCHWIRREN	1	2	2
SCHMIEGST	2	2	2
SCHULDEND	2	2	2
PROZENTEN	3	3	3
SCHIRMEND	2	2	3
SCHWELEND	2	2	2
SCHWARZEN	2	2	3
SCHLICHTE	2	2	3
SCHNALLEN	2	2	3
SCHUBLADE	2	2	2
SCHNIEFEN	2	2	3
SCHWEFELN	2	2	1
SCHREINER	3	1	2
SEXUELLES	2	2	2
REISSTEST	2	2	3
SCHISSEST	2	2	2
SEEFESTES	2	2	3
SALZLOSEN	2	3	3
SCHEITERE	2	3	2
SERIELLER	2	2	4
SCHALHEIT	2	2	1
RESULTATS	2	1	3
RINGENDEN	2	3	2
REGELTEST	2	3	2
SELBSTLOS	2	2	2
SCHLIESST	1	3	4
SCHWIEGST	2	2	3
SCHNELLTE	2	2	3
SEEKLAREN	2	2	2
SIEGELTET	2	2	1
SELIGSTEM	2	3	4
SPARBUCHS	2	2	2
SCHMIERST	2	3	4
SCHOEPFEN	3	3	3
STATISTIK	1	2	2
SITZPLATZ	2	2	2
SCHWAECHT	2	2	3
SCHARTEST	2	3	2
SOLIDERER	2	2	3
SOUFFLEUR	2	2	2
SCHWULSTE	2	3	2
STABSCHEF	2	2	2
SEPTISCHE	2	2	2
SCHMELZTE	3	2	2
SCHWIERIG	2	2	3
STAUCHTEN	2	2	3
STEIFERER	2	2	3
SONDERBAR	2	1	2
STEILEREN	2	2	2
SPIESSTEN	2	2	2
SCHLAEFST	2	3	3
SKILIFTEN	2	2	3
SCHWEMMTE	2	2	3
SEZIERTEM	2	3	3
SELIGERES	2	2	4
SPITZIGES	2	2	2
STICHLING	2	2	3
SPUCKTEST	2	2	2
STOTTERND	1	2	2
STEHLENDE	2	2	3
SPANNENDE	2	2	2
SICHERSTE	2	2	2
SIMULIERT	2	1	2
STAMMELTE	2	3	3
STAENKERT	2	2	3
SERIELLEM	2	2	3
STERNCHEN	3	1	2
STREICHEN	2	2	3
SCHEITERT	2	2	3
STAHLBAUS	2	2	2
TAENZERIN	2	2	2
SENKENDER	2	2	2
SPORTHOSE	2	2	2
TALKESSEL	2	1	2
SUDELIGEM	2	2	2
SUECHTIGE	2	2	2
SERVIERTE	2	2	2
SYMPTOMEN	2	2	2
SPIELLUST	2	2	3
TASTKNOPF	1	1	1
STEINPILZ	2	2	2
TANTIEMEN	1	2	2
TASTSINNS	1	1	1
SUESSERES	2	2	2
SPRITZERS	2	3	2
TASTENDES	2	2	3
TAGESKURS	2	2	1
STUDENTEN	2	2	3
STEHPULTE	2	2	3
STROHKOPF	2	2	2
TAXIERTEN	2	2	4
SUCHENDER	2	1	3
TARNENDER	2	2	5
TAUFPATEN	2	2	2
TEGERNSEE	2	2	2
TESTIEREN	2	2	3
TEILSTREB	1	2	2
TESTENDER	2	2	2
SICHTETET	2	2	2
STICKENDE	2	3	3
STEINZEIT	2	2	3
TERRASSEN	2	1	2
TOLLKUEHN	1	1	1
SPUELICHT	2	2	2
TAXIERTET	2	3	3
SCHAUDERT	2	2	2
TESTTIEFE	2	2	2
TEPPICHEN	2	3	2
STICHLERS	2	3	3
TESTKREIS	2	2	2
TAGESGELD	2	2	2
TEERENDES	2	1	3
SUBSTRATE	2	1	2
STRAFMASS	2	2	2
TOECHTERN	2	2	2
TEILMENGE	2	2	3
TRAINIERE	2	2	2
TOASTETET	2	3	2
TRAGTIERS	2	2	1
TIEFSINNS	2	2	2
TUNLICHEN	1	2	2
TRAUMBILD	2	2	2
TAENDELTE	2	2	2
SPRINTEST	2	3	2
TROTZIGER	2	2	4
STRICKERS	2	3	2
TYPISCHER	2	2	3
UMMODELND	1	2	2
TRAGOEDIE	2	2	2
TUEFTELND	2	2	2
TRIFTIGES	2	2	3
UMGIESSEN	2	1	2
TROCKNEST	2	2	2
ULKIGERER	2	2	3
UMSTEIGEN	2	1	2
TROCKENEN	2	2	3
UEBELSTEN	2	2	2
UMRANNTES	2	2	2
UMSPULEND	2	2	1
TEUERSTEM	2	2	2
SPRUEHTET	2	2	3
UNLOGISCH	2	1	2
TRAPPELND	2	3	3
UNSTARREN	2	1	2
TROPISCHE	2	2	3
TROESTEND	2	2	2
TOENERNEM	2	2	2
UEBERFALL	2	2	2
UNLUSTIGE	2	2	3
TRAEUFELT	2	2	2
UNGESUNDE	2	2	2
UMBILDEND	2	2	2
UNSTETERE	2	1	1
TRAEUMERS	2	2	2
UNACHTSAM	2	2	2
UMRANDEST	2	2	2
UMLADENDE	2	2	2
UNTERTAGE	2	2	3
UEBERTAGE	2	2	3
